Conditions,Outcome Measures
2019 Novel Coronavirus,"Proportion of participants who improve by at least one level lower on the 11-point World Health Organization Ordinal Scale for Clinical Improvement (WHO-OSCI), where patients are scored on a scale of 0-10 with 0 being uninfected and 10 being dead .|Proportion of participants who improve by at least one level lower on the 11-point WHO-OSCI|Change in condition measured using the 11-point WHO-OSCI|All-cause mortality|Hydroxychloroquine (HCQ) concentration in plasma versus time profiles|Change from Baseline Oxygenation as determined by the SpO2 / FiO2 ratio|Treatment-related adverse events of HCQ|Rate of Transfer to the Intensive Care Unit|Time to Clinical Improvement|Duration of hospitalization|Time to Hospital Discharge OR NEWS2 (National Early Warning Score 2) of ≤ 2 maintained for 24 hrs|Status of discharged or not requiring supplemental oxygen|Rates of Intensive Care Unit mortality|Intensive Care length of stay|Oxygenation free days|Ventilator free days|Incidence & duration of new oxygen use|Incidence and duration of new mechanical ventilation use|Cardiac Arrhythmia - Polymorphic Ventricular Tachycardia|Cardiac Arrhythmia - Ventricular Tachycardia|Cardiac Arrhythmia - Lengthening QTc"
2019 Novel Coronavirus Infection,new-onset COVID-19|Number of Participants with coronavirus related symptoms|Number of Participants with adverse effect
"2019 Novel Coronavirus Infection|COVID-19 Virus Infection|SARS Coronavirus 2 Infection|SARS-CoV-2 Infection|Respiratory Distress Syndrome, Adult|Adult Respiratory Distress Syndrome",Number of participants with treatment emergent adverse events (TEAE)
2019 Novel Coronavirus Pneumonia,Clinical recovery time|Complete fever time|Cough relief time|Virus negative time|Incidence of severe or critical neocoronavirus pneumonia
2019 Novel Coronavirus Pneumonia|COVID-19,"Pneumonia severity index|Oxygenation index (PaO2/FiO2)|Side effects in the UC-MSCs treatment group|28-days survival|Sequential organ failure assessment|C-reactive protein|Procalcitonin|Lymphocyte count|CD3+, CD4+ and CD8+ T celll count|CD4+/CD8+ratio"
"2019 nCoV, PD-1","lung injury score|absolute lymphocyte counts|serum level of CRP, PCT and IL-6|SOFA score|all cause mortality rate|ventilation free days|ICU free days"
2019-nCoV,"Clinical improvement based on the 7-point scale|Lower Murray lung injury score|28-day mortality|Duration of mechanical ventilation|Duration of hospitalization|Proportion of patients with negative RT-PCR results|Proportion of patients in each category of the 7-point scale|Proportion of patients with normalized inflammation factors|Frequency of Adverse Drug Events|Frequency of Serious Adverse Drug Events, Rate of disease remission|Time for lung recovery|Rate of no fever|Rate of respiratory symptom remission|Rate of lung imaging recovery|Rate of CRP,ES,Biochemical criterion (CK,ALT,Mb)recovery|Rate of undetectable viral RNA, Virus negative conversion rate in the first week|Virus negative conversion rate|Antipyretic rate|Symptom relief time|Finger oxygen improvement rate|Disease progression rate|Mortality rate|Incidence of severe adverse reactions|Change curve of peripheral blood lymphocyte count, Occupancy rate in the intensive care unit (ICU)|Mechanical Ventilation|Death|All cause mortality|Time from onset of symptoms to main outcome and its components|Time to Clinical Recovery, The cure rate of 2019-nCoV.|The improvement rate of 2019-nCoV.|The incidence of long-term adverse outcomes.|Duration of fever|Duration of respiratory symptoms|Duration of hospitalization|Number of participant(s) need intensive care|Number of participant(s) with acute respiratory distress syndrome|Number of participant(s) with extra-pulmonary complications, including shock, renal failure, multiple organ failure, hemophagocytosis syndrome, et al.|Number of participant(s) who died during the trial, The incidence of composite adverse outcome|Time to recovery|Rate of no fever|Rate of no cough|Rate of no dyspnea|Rate of no requring supplemental oxygen|Rate of undectable viral RNA|Rate of mechanical ventilation|Rate of ICU admission|Time and rate of laboratory indicators related to disease improvement to return to normal, Rate of disease remission|Time for lung recovery|Rate of no fever|Rate of respiratory symptom remission|Rate of lung imaging recovery|Rate of CRP,ES,Biochemical criterion(CK,ALT,Mb) recovery|Rate of undetectable viral RNA"
2019-nCoV (COVID-19)|Interstitial Pneumonia,"Association of pulmonary lesions on ultrasound on D0 classified according to three stages of severity|Assessment of the agreement between a newly trained operator and an experienced operator of classification in one of the three stages of ultrasound gravity, by Cohen's kappa coefficient.|Estimate in patients who had a CT-scan on D0, the agreement in the evaluation of the severity of lung lesions via ultrasound vs. CT-scan, by Cohen's kappa coefficient|Measurement of the cumulative incidence of invasive mechanical ventilation and measurement of survival"
2019-nCoV Pneumonia,"Rate of comprehensive adverse outcome|Time of clinical remission|Rate of no fever|Rate of no cough|Rate of no dyspnea|Rate of no need for oxygen inhalation|Rate of undetectable viral RNA|Rate of mechanical ventilation|Rate of ICU admission|Rate and time of CRP,ES,Biochemical criterion(CK,ALT,Mb)recovery"
2019-nCoV Severe Pneumonia,Rate of disease remission|Rate and time of entering the critical stage|Rate of normal tempreture|Rate of respiratory symptom remission|Rate of lung imaging recovery|Rate of laboratory indicator recovery|Rate of undetectable viral RNA
