Start_Month,Trial_Count
1998-01,1
2010-03,1
2011-02,1
2011-03,1
2012-01,1
2012-02,1
2012-05,1
2013-01,1
2013-04,1
2013-10,1
2014-01,1
2015-01,1
2015-10,1
2016-01,1
2016-04,2
2016-07,1
2016-10,1
2016-11,1
2017-01,2
2017-02,2
2017-03,1
2017-04,2
2017-05,1
2017-06,2
2017-07,3
2017-08,1
2017-09,3
2017-10,4
2017-11,1
2017-12,2
2018-01,4
2018-02,6
2018-03,3
2018-04,3
2018-05,4
2018-06,2
2018-07,3
2018-08,3
2018-09,1
2018-10,4
2018-11,4
2018-12,2
2019-01,13
2019-02,1
2019-03,8
2019-04,7
2019-05,6
2019-06,6
2019-07,5
2019-08,6
2019-09,8
2019-10,12
2019-11,6
2019-12,15
2020-01,61
2020-02,100
2020-03,417
2020-04,825
2020-05,645
2020-06,502
2020-07,361
2020-08,265
2020-09,306
2020-10,257
2020-11,243
2020-12,263
2021-01,243
2021-02,217
2021-03,196
2021-04,125
2021-05,27
2021-06,15
2021-07,4
2021-08,2
2021-09,8
2021-10,3
2021-11,2
2021-12,1
